# x_m,y_m,w_tr_right_m,w_tr_left_m
-37.0213,30.8417,0.7134,0.7134
-37.0213,30.7703,0.7134,0.7134
-37.0213,30.6990,0.7134,0.7134
-37.0213,30.6276,0.7134,0.7134
-37.0213,30.5563,0.7026,0.7026
-37.0213,30.4850,0.6768,0.6768
-36.9500,30.4136,0.7026,0.7026
-36.9500,30.3423,0.7134,0.7134
-36.9500,30.2709,0.7134,0.7134
-36.9500,30.1996,0.7134,0.7134
-36.9500,30.1283,0.7134,0.7134
-36.9500,30.0569,0.7026,0.7026
-36.9500,29.9856,0.6768,0.6768
-36.8786,29.9142,0.7026,0.7026
-36.8786,29.8429,0.7134,0.7134
-36.8786,29.7716,0.7134,0.7134
-36.8786,29.7002,0.7134,0.7134
-36.8786,29.6289,0.7134,0.7134
-36.8786,29.5575,0.7026,0.7026
-36.8073,29.4862,0.6768,0.6768
-36.8073,29.4149,0.7026,0.7026
-36.8073,29.3435,0.7134,0.7134
-36.8073,29.2722,0.7134,0.7134
-36.8073,29.2008,0.7134,0.7134
-36.8073,29.1295,0.7026,0.7026
-36.8073,29.0582,0.6768,0.6768
-36.7360,28.9868,0.7026,0.7026
-36.7360,28.9155,0.7134,0.7134
-36.7360,28.8441,0.7134,0.7134
-36.7360,28.7728,0.7134,0.7134
-36.7360,28.7015,0.7026,0.7026
-36.6646,28.6301,0.6768,0.6768
-36.6646,28.5588,0.7026,0.7026
-36.6646,28.4874,0.7134,0.7134
-36.6646,28.4161,0.7134,0.7134
-36.6646,28.3448,0.7026,0.7026
-36.6646,28.2734,0.6768,0.6768
-36.5933,28.2021,0.6768,0.6768
-36.5933,28.1307,0.7026,0.7026
-36.5933,28.0594,0.7134,0.7134
-36.5933,27.9881,0.7026,0.7026
-36.5933,27.9167,0.6768,0.6768
-36.5933,27.8454,0.6577,0.6577
-36.5219,27.7740,0.7026,0.7026
-36.5219,27.7027,0.7134,0.7134
-36.5219,27.6314,0.7026,0.7026
-36.5219,27.5600,0.6768,0.6768
-36.5219,27.4887,0.6577,0.6577
-36.4506,27.4173,0.7026,0.7026
-36.4506,27.3460,0.7134,0.7134
-36.4506,27.2747,0.7026,0.7026
-36.4506,27.2033,0.6768,0.6768
-36.4506,27.1320,0.6577,0.6577
-36.3793,27.0606,0.7134,0.7134
-36.3793,26.9893,0.7026,0.7026
-36.3793,26.9180,0.6768,0.6768
-36.3793,26.8466,0.6577,0.6577
-36.3079,26.7753,0.7026,0.7026
-36.3079,26.7039,0.7134,0.7134
-36.3079,26.6326,0.7026,0.7026
-36.3079,26.5613,0.6768,0.6768
-36.3079,26.4899,0.6577,0.6577
-36.2366,26.4186,0.7170,0.7170
-36.2366,26.3472,0.7026,0.7026
-36.2366,26.2759,0.6768,0.6768
-36.2366,26.2046,0.6577,0.6577
-36.1652,26.1332,0.7134,0.7134
-36.1652,26.0619,0.7026,0.7026
-36.1652,25.9905,0.6768,0.6768
-36.1652,25.9192,0.6577,0.6577
-36.0939,25.8479,0.7026,0.7026
-36.0939,25.7765,0.7026,0.7026
-36.0939,25.7052,0.6768,0.6768
-36.0939,25.6338,0.6577,0.6577
-36.0939,25.5625,0.6460,0.6460
-36.0226,25.4912,0.7026,0.7026
-36.0226,25.4198,0.6768,0.6768
-36.0226,25.3485,0.6577,0.6577
-36.0226,25.2771,0.6460,0.6460
-35.9512,25.2058,0.7026,0.7026
-35.9512,25.1345,0.6768,0.6768
-35.9512,25.0631,0.6577,0.6577
-35.9512,24.9918,0.6460,0.6460
-35.8799,24.9204,0.7026,0.7026
-35.8799,24.8491,0.6768,0.6768
-35.8799,24.7778,0.6577,0.6577
-35.8799,24.7064,0.6460,0.6460
-35.8085,24.6351,0.7026,0.7026
-35.8085,24.5637,0.6768,0.6768
-35.8085,24.4924,0.6577,0.6577
-35.8085,24.4211,0.6460,0.6460
-35.7372,24.3497,0.7026,0.7026
-35.7372,24.2784,0.6768,0.6768
-35.7372,24.2070,0.6577,0.6577
-35.7372,24.1357,0.6460,0.6460
-35.6659,24.0644,0.7026,0.7026
-35.6659,23.9930,0.6768,0.6768
-35.6659,23.9217,0.6577,0.6577
-35.5945,23.8503,0.7170,0.7170
-35.5945,23.7790,0.7026,0.7026
-35.5945,23.7077,0.6768,0.6768
-35.5945,23.6363,0.6577,0.6577
-35.5232,23.5650,0.7170,0.7170
-35.5232,23.4936,0.7026,0.7026
-35.5232,23.4223,0.6768,0.6768
-35.5232,23.3510,0.6577,0.6577
-35.4518,23.2796,0.7170,0.7170
-35.4518,23.2083,0.7026,0.7026
-35.4518,23.1369,0.6768,0.6768
-35.4518,23.0656,0.6577,0.6577
-35.3805,22.9943,0.7170,0.7170
-35.3805,22.9229,0.7026,0.7026
-35.3805,22.8516,0.6768,0.6768
-35.3805,22.7802,0.6577,0.6577
-35.3092,22.7089,0.7170,0.7170
-35.3092,22.6376,0.7026,0.7026
-35.3092,22.5662,0.6768,0.6768
-35.3092,22.4949,0.6577,0.6577
-35.2378,22.4235,0.7026,0.7026
-35.2378,22.3522,0.6768,0.6768
-35.2378,22.2809,0.6577,0.6577
-35.2378,22.2095,0.6460,0.6460
-35.1665,22.1382,0.7026,0.7026
-35.1665,22.0668,0.6768,0.6768
-35.1665,21.9955,0.6577,0.6577
-35.1665,21.9242,0.6460,0.6460
